#{"t_start": 1717156320.7890003, "env_id": "MagnetEnv_OSC-v0"}
r,l,t
-37.154189,2001,1117.176868
-33.629816,2001,1119.612454
-39.628697,2001,1122.0441
-35.626529,2001,1124.663989
-35.626529,2001,1126.330963
-35.626529,2001,1127.993181
-35.626529,2001,1129.65918
-35.626529,2001,1131.31086
-38.140144,2001,1133.758875
-36.128894,2001,1136.239286
-36.66062,2001,1138.706355
-41.131776,2001,1141.121891
-36.638,2001,1143.579438
-37.619662,2001,1146.029945
-37.633338,2001,1148.454777
-37.146029,2001,1150.905288
-35.129819,2001,1153.356222
-40.643671,2001,1155.808446
-36.656708,2001,1158.256506
-39.148936,2001,1160.690136
-37.618016,2001,1163.139449
-36.164664,2001,1165.644755
-35.155163,2001,1168.09677
-39.112746,2001,1170.630761
-37.6558,2001,1173.122116
-38.630661,2001,1175.618502
-41.653235,2001,1178.105351
-36.120898,2001,1180.529266
-36.134487,2001,1183.025799
-35.626604,2001,1185.490825
-35.629591,2001,1187.954264
-35.605014,2001,1190.448836
-36.609125,2001,1192.945964
-39.108303,2001,1195.408737
-36.635147,2001,1197.281555
-39.625531,2001,1199.778443
-36.615161,2001,1202.228947
-35.620193,2001,1204.701504
-39.074583,2001,1207.107176
-37.623373,2001,1209.568652
-35.630541,2001,1212.766661
-35.630541,2001,1214.42258
-35.630541,2001,1216.076465
-35.630541,2001,1217.732737
-35.630541,2001,1219.388875
-36.623654,2001,1221.849049
-35.617253,2001,1224.245492
-38.112442,2001,1226.638126
-37.577737,2001,1229.038188
-38.572642,2001,1231.478598
-35.616181,2001,1233.915564
-36.593955,2001,1236.331171
-37.073222,2001,1238.778268
-35.575141,2001,1241.205757
-37.596088,2001,1243.626194
-34.619269,2001,1246.070512
-39.082609,2001,1248.465889
-37.114748,2001,1250.846934
-37.103285,2001,1253.245261
-35.101529,2001,1255.083581
-37.115407,2001,1257.547166
-35.623568,2001,1259.967958
-38.594732,2001,1262.437521
-35.608672,2001,1264.858096
-35.117061,2001,1267.296976
-38.087942,2001,1269.715596
-38.594532,2001,1272.141044
-36.600271,2001,1274.577193
-37.115817,2001,1276.978492
-39.119978,2001,1279.456163
-36.60954,2001,1281.880281
-37.137155,2001,1284.33327
-36.640251,2001,1286.781255
-40.090562,2001,1289.236506
-38.58773,2001,1291.689282
-37.576521,2001,1294.12987
-34.584719,2001,1296.570632
-37.58843,2001,1299.81185
-37.58843,2001,1301.447414
-37.58843,2001,1303.084291
-37.58843,2001,1304.724838
-37.58843,2001,1306.349034
-38.114468,2001,1308.811288
-36.604419,2001,1311.26875
-40.602033,2001,1313.718706
-38.101633,2001,1315.537745
-38.583048,2001,1317.970009
-37.59942,2001,1320.445771
-38.1032,2001,1322.921651
-38.591638,2001,1325.360205
-38.075841,2001,1327.77239
-40.056441,2001,1330.227385
-37.085433,2001,1332.686134
-39.577702,2001,1335.111109
-34.57938,2001,1337.54636
-35.084519,2001,1339.989032
-37.563954,2001,1342.458477
-37.588472,2001,1344.923557
-37.602441,2001,1347.336893
-35.580085,2001,1349.731937
-35.606167,2001,1352.198195
-36.099855,2001,1354.64168
-39.079813,2001,1357.046971
-36.079399,2001,1359.458801
-40.595724,2001,1361.908465
-37.61255,2001,1364.366151
-37.084749,2001,1366.854749
-35.110525,2001,1369.252352
-37.084495,2001,1371.713929
-38.601979,2001,1374.191365
-39.137065,2001,1376.690768
